src/features/ai-assistant/services/admin-model-service.ts(43,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(349,17): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(354,17): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(360,41): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/web3-payments.ts(127,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/web3-payments.ts(127,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/web3-payments.ts(136,10): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(183,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(205,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(320,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(344,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(508,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(532,12): error TS2551: Property 'metrics' does not exist on type 'Web3PaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/web3-payments.ts(650,11): error TS6133: 'paymentData' is declared but its value is never read.
src/functions/agent-execution.ts(16,3): error TS6133: 'AgentTaskRequest' is declared but its value is never read.
src/functions/agent-execution.ts(17,3): error TS2305: Module '"../shared/types/ai-assistant"' has no exported member 'WorkflowDefinition'.
src/functions/agent-execution.ts(18,3): error TS2305: Module '"../shared/types/ai-assistant"' has no exported member 'WorkflowNodeDefinition'.
src/functions/agent-execution.ts(18,3): error TS6133: 'WorkflowNodeDefinition' is declared but its value is never read.
src/functions/agent-execution.ts(19,3): error TS2305: Module '"../shared/types/ai-assistant"' has no exported member 'WorkflowEdgeDefinition'.
src/functions/agent-execution.ts(19,3): error TS6133: 'WorkflowEdgeDefinition' is declared but its value is never read.
src/functions/agent-execution.ts(25,3): error TS6133: 'WorkflowType' is declared but its value is never read.
src/functions/agent-execution.ts(27,3): error TS6133: 'StepType' is declared but its value is never read.
src/functions/agent-execution.ts(184,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/functions/agent-execution.ts(184,11): error TS6133: '_firestore' is declared but its value is never read.
src/functions/agent-execution.ts(187,11): error TS6133: '_nebiusService' is declared but its value is never read.
src/functions/agent-execution.ts(199,10): error TS2551: Property 'firestore' does not exist on type 'AgentExecutionHandler'. Did you mean '_firestore'?
src/functions/agent-execution.ts(248,38): error TS2339: Property 'creditsUsed' does not exist on type 'TaskResultMetadata'.
src/functions/agent-execution.ts(262,27): error TS2339: Property 'creditsUsed' does not exist on type 'TaskResultMetadata'.
src/functions/agent-execution.ts(265,27): error TS2339: Property 'creditsUsed' does not exist on type 'TaskResultMetadata'.
src/functions/agent-execution.ts(275,38): error TS2339: Property 'creditsUsed' does not exist on type 'TaskResultMetadata'.
src/functions/agent-execution.ts(298,11): error TS6133: 'startTime' is declared but its value is never read.
src/functions/agent-execution.ts(436,11): error TS2353: Object literal may only specify known properties, and 'creditsUsed' does not exist in type 'TaskResultMetadata'.
src/functions/agent-execution.ts(522,11): error TS2353: Object literal may only specify known properties, and 'creditsUsed' does not exist in type 'TaskResultMetadata'.
src/functions/agent-execution.ts(598,11): error TS2353: Object literal may only specify known properties, and 'creditsUsed' does not exist in type 'TaskResultMetadata'.
src/functions/agent-execution.ts(674,11): error TS2353: Object literal may only specify known properties, and 'creditsUsed' does not exist in type 'TaskResultMetadata'.
src/functions/agent-execution.ts(741,11): error TS2353: Object literal may only specify known properties, and 'creditsUsed' does not exist in type 'TaskResultMetadata'.
src/functions/agent-execution.ts(809,18): error TS2551: Property 'firestore' does not exist on type 'AgentExecutionHandler'. Did you mean '_firestore'?
src/functions/image-generation.ts(233,23): error TS2531: Object is possibly 'null'.
src/index.ts(56,18): error TS2551: Property 'onPaymentCompleted' does not exist on type '{ stripeWebhook: HttpsFunction; paypalWebhook: HttpsFunction; onPaymentCreated: CloudFunction<FirestoreEvent<QueryDocumentSnapshot | undefined, { ...; }>>; onPaymentUpdated: CloudFunction<...>; onPaymentSagaCreated: CloudFunction<...>; onPaymentSagaUpdated: CloudFunction<...>; }'. Did you mean 'onPaymentCreated'?
src/index.ts(86,18): error TS2339: Property 'executeAgentTask' does not exist on type 'typeof AgentExecutionHandler'.
src/shared/error-handling/comprehensive-error-handler.ts(234,7): error TS2322: Type '{ success: boolean; result: T; error?: CategorizedError | undefined; executionTime: number; attempts?: number | undefined; recoveryMethod?: RecoveryStrategy | undefined; ... 7 more ...; context: Record<string, any>; }' is not assignable to type 'ErrorHandlingResult<T>'.
  Types of property 'attempts' are incompatible.
    Type 'number | undefined' is not assignable to type 'number'.
      Type 'undefined' is not assignable to type 'number'.
src/shared/error-handling/comprehensive-error-handler.ts(438,7): error TS2322: Type 'number | boolean | undefined' is not assignable to type 'boolean'.
  Type 'undefined' is not assignable to type 'boolean'.
src/shared/orchestration/operation-queue.ts(127,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/shared/orchestration/operation-queue.ts(127,11): error TS6133: '_firestore' is declared but its value is never read.
src/shared/orchestration/operation-queue.ts(130,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/shared/orchestration/operation-queue.ts(130,11): error TS6133: '_metrics' is declared but its value is never read.
src/shared/orchestration/operation-queue.ts(141,10): error TS2551: Property 'firestore' does not exist on type 'OperationQueue'. Did you mean '_firestore'?
src/shared/orchestration/operation-queue.ts(144,10): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(197,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(202,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(218,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(241,30): error TS2551: Property 'firestore' does not exist on type 'OperationQueue'. Did you mean '_firestore'?
src/shared/orchestration/operation-queue.ts(284,16): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(464,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(468,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(557,12): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(594,10): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(645,42): error TS2551: Property 'firestore' does not exist on type 'OperationQueue'. Did you mean '_firestore'?
src/shared/orchestration/operation-queue.ts(682,16): error TS2551: Property 'firestore' does not exist on type 'OperationQueue'. Did you mean '_firestore'?
src/shared/orchestration/operation-queue.ts(768,10): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(769,10): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/operation-queue.ts(770,10): error TS2551: Property 'metrics' does not exist on type 'OperationQueue'. Did you mean '_metrics'?
src/shared/orchestration/rtdb-orchestrator.ts(6,1): error TS6133: 'Database' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(7,1): error TS6133: 'Firestore' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(17,3): error TS6133: 'WorkflowResult' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(18,3): error TS6133: 'SystemEvent' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(34,10): error TS6133: 'TaskType' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(35,10): error TS6133: 'TransactionType' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(43,11): error TS6133: '_creditService' is declared but its value is never read.
src/shared/orchestration/rtdb-orchestrator.ts(199,21): error TS2552: Cannot find name 'CompensationStrategy'. Did you mean 'CompensationStatus'?
src/shared/orchestration/rtdb-orchestrator.ts(540,44): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'Error'.
src/shared/orchestration/rtdb-orchestrator.ts(669,19): error TS2552: Cannot find name 'CompensationStrategy'. Did you mean 'CompensationStatus'?
src/shared/resilience/data-consistency.ts(530,9): error TS2740: Type '{}' is missing the following properties from type 'RepairChange[]': length, pop, push, concat, and 29 more.
src/shared/resilience/data-consistency.ts(546,40): error TS2339: Property 'length' does not exist on type '{}'.
src/shared/resilience/data-consistency.ts(778,67): error TS7006: Parameter 'violation' implicitly has an 'any' type.
src/shared/resilience/data-consistency.ts(778,78): error TS7006: Parameter 'rule' implicitly has an 'any' type.
src/shared/resilience/data-consistency.ts(796,66): error TS7006: Parameter 'violation' implicitly has an 'any' type.
src/shared/resilience/data-consistency.ts(796,77): error TS7006: Parameter 'rule' implicitly has an 'any' type.
src/shared/resilience/distributed-locks.ts(83,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/distributed-locks.ts(83,11): error TS6133: '_firestore' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(85,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/distributed-locks.ts(85,11): error TS6133: '_metrics' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(91,11): error TS6133: '_lockQueues' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(116,10): error TS2551: Property 'firestore' does not exist on type 'DistributedLockManager'. Did you mean '_firestore'?
src/shared/resilience/distributed-locks.ts(118,10): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(185,16): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(190,16): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(205,16): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(227,14): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(311,11): error TS6133: 'lockRef' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(414,14): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(476,16): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(637,16): error TS2551: Property 'metrics' does not exist on type 'DistributedLockManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(774,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/distributed-locks.ts(774,11): error TS6133: '_firestore' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(776,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/distributed-locks.ts(776,11): error TS6133: '_metrics' is declared but its value is never read.
src/shared/resilience/distributed-locks.ts(783,10): error TS2551: Property 'firestore' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_firestore'?
src/shared/resilience/distributed-locks.ts(785,10): error TS2551: Property 'metrics' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(796,30): error TS2551: Property 'firestore' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_firestore'?
src/shared/resilience/distributed-locks.ts(834,27): error TS2551: Property 'firestore' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_firestore'?
src/shared/resilience/distributed-locks.ts(836,33): error TS2551: Property 'firestore' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_firestore'?
src/shared/resilience/distributed-locks.ts(836,65): error TS7006: Parameter 'transaction' implicitly has an 'any' type.
src/shared/resilience/distributed-locks.ts(860,16): error TS2551: Property 'metrics' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(908,14): error TS2551: Property 'metrics' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_metrics'?
src/shared/resilience/distributed-locks.ts(924,12): error TS2551: Property 'metrics' does not exist on type 'OptimisticConcurrencyManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(128,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/failover-recovery.ts(128,11): error TS6133: '_firestore' is declared but its value is never read.
src/shared/resilience/failover-recovery.ts(130,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/shared/resilience/failover-recovery.ts(130,11): error TS6133: '_metrics' is declared but its value is never read.
src/shared/resilience/failover-recovery.ts(151,10): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(153,10): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(203,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(212,12): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(252,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(254,12): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(404,13): error TS6133: 'testDoc' is declared but its value is never read.
src/shared/resilience/failover-recovery.ts(404,34): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(492,12): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(505,10): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(509,10): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(559,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(617,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(630,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(636,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(652,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(764,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(924,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(943,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(955,14): error TS2551: Property 'metrics' does not exist on type 'FailoverRecoveryManager'. Did you mean '_metrics'?
src/shared/resilience/failover-recovery.ts(1027,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(1065,18): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(1099,35): error TS2551: Property 'firestore' does not exist on type 'FailoverRecoveryManager'. Did you mean '_firestore'?
src/shared/resilience/failover-recovery.ts(1101,24): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/shared/resilience/graceful-degradation.ts(427,20): error TS6133: 'rule' is declared but its value is never read.
src/shared/types/express.ts(56,7): error TS2717: Subsequent property declarations must have the same type.  Property 'user' must be of type '{ uid: string; email?: string | undefined; emailVerified?: boolean | undefined; customClaims?: Record<string, any> | undefined; authTime: number; issuedAt: number; expiresAt: number; } | undefined', but here has type 'UserContext | undefined'.
